CONDITION_CODE_ID,CODE_TEXT,DETAIL_CODE_TXT,ROW_STATUS_IND
d5555292-eba4-2723-e053-0100007f945f,Debonded,,I
d5555292-eba5-2723-e053-0100007f945f,Dimension Out of Limit,,I
d5555292-eba6-2723-e053-0100007f945f,Discolored,,I
d5555292-eba7-2723-e053-0100007f945f,Elongated/Warped,,I
d5555292-eba8-2723-e053-0100007f945f,Excessive Vibration,,I
d5555292-eba9-2723-e053-0100007f945f,Failed Continuity Check,,I
d5555292-ebaa-2723-e053-0100007f945f,Grinding/Honing/Polishing Marks,,I
d5555292-ebab-2723-e053-0100007f945f,High Vibration - Diagnostics,,I
d5555292-ebac-2723-e053-0100007f945f,Holes,,I
d5555292-ebad-2723-e053-0100007f945f,Incorrect ID on Part,,I
d5555292-ebae-2723-e053-0100007f945f,Internal Failure,,I
d5555292-ebaf-2723-e053-0100007f945f,Leaking at Case Halves,,I
d5555292-ebb0-2723-e053-0100007f945f,Leaking Grease,,I
d5555292-ebb1-2723-e053-0100007f945f,Loose Insert,,I
d5555292-ebb2-2723-e053-0100007f945f,Loose Pin Plugs,,I
d5555292-ebb3-2723-e053-0100007f945f,Loose Rivets,,I
d5555292-ebb4-2723-e053-0100007f945f,Melted,,I
d5555292-ebb5-2723-e053-0100007f945f,Missing Coating,,I
d5555292-ebb6-2723-e053-0100007f945f,Missing Sealant,,I
d5555292-ebb7-2723-e053-0100007f945f,NDI Indications,,I
d5555292-ebb8-2723-e053-0100007f945f,No Conditions Found,,I
d5555292-ebb9-2723-e053-0100007f945f,Obsolete,,I
d5555292-ebba-2723-e053-0100007f945f,Plugged/Clogged,,I
d5555292-ebbb-2723-e053-0100007f945f,Overhaul Limit,,I
d5555292-ebbc-2723-e053-0100007f945f,Scuffs/Scuffed,,I
d5555292-ebbd-2723-e053-0100007f945f,Sealant Distress,,I
d5555292-ebbe-2723-e053-0100007f945f,Shifted/Rotated/Misaligned,,I
d5555292-ebbf-2723-e053-0100007f945f,Short Wires,,I
d5555292-ebc0-2723-e053-0100007f945f,Split Line Mismatch,,I
d5555292-ebc1-2723-e053-0100007f945f,Squared,,I
d5555292-ebc2-2723-e053-0100007f945f,Standard Measurement,,I
d5555292-ebc3-2723-e053-0100007f945f,Surface Finish Unacceptable,,I
d5555292-ebc4-2723-e053-0100007f945f,Surface Taper Unacceptable,,I
d5555292-ebc5-2723-e053-0100007f945f,Torn,,I
d5555292-ebc6-2723-e053-0100007f945f,High Time,,I
d5555292-ebc7-2723-e053-0100007f945f,Broken Studs,,I
d5555292-ebc8-2723-e053-0100007f945f,Oil Sample Abnormal,,A
d5555292-ebc9-2723-e053-0100007f945f,Oil Sample Abnormal,,I
d5555292-ebca-2723-e053-0100007f945f,Thermal Distress,,A
